id,question,context,context_answer,param_answer
exttruth_4853097379281793803#6127_3_1,Ұлы Қытай қорғаны қайда өтеді?,"Қытай Қорғанының шығысы Қытайдың  Амре тауынан басталып, батысы Қазақ хандығы-- барады, жалпы ұзындығы 6700 км артық. VII ғ-дан ХVII ғ-ға дейінгі 1000 жылда, шамамен 10 патшалық әулеті құрылыс салып, осы қорғанды жасаған.Қытай қорғаны Қытайдағы ежелгі қорғаныс құрылысы. Қытай қорғанының құрылысы Қытай тарихындағы Чуньцю («Көктем және күз» б.з.б. 770 – 476 жылы) және Чжаньго («Жауласқан патшалықтар» б.з.б. 475 – 221 жылы) заманында салына бастаған. Ол кезде Хуанхэ алқабында жеті шағын патшалық жеке-дара өмір сүрді. Олар өздерінің солтүстігіндегі ғұн және дунху сияқты көшпелі тайпалардан қорғану үшін өз шекараларына қорғаныс қамалдарын тұрғыза бастады.","Ляудұңның Жолбарыс тауынан басталып, батысы Гансудағы Жяйүйгуанға дейін-","Қытайдың  Амре тауынан басталып, батысы Қазақ хандығы"
exttruth_-6198297422558013603#566341_5_1_1,Бэтмендегі Джокердің шын аты қандай болды?,"1989 жылы шыққан ""Бэтмен"" фильмінде Джокер рөлін атақты Джеймс-- Николсон сомдады. Сол рөлі үшін актер BAFTA марапатында екінші желідегі үздік еркек рөлі номинациясында болды, бірақ жеңе алмады. Сонымен қатар 1990 жылы Джек- ""Алтын глобус"" марапатына номинацияланған. Бұл фильмде алғаш рет Джокердің тегі анықталады. Ол Джеймс- Напьер атты қылмыскер және Готэмнің қылмыскерлік басшысы Карл Гриссомның ""оң қолы"". Химиялық зауытты тонау кезінде Гриссом Напьерді сатып кетті, себебі ол өз қызының өзінің оң қолымен қарым-қатынаста екенін біліп қойды. Бэтмен мен Напьер күресі нәтижесінде Джек- улы кеспекке түсіп, беті қатты жараланды. Джеймс- тірі қалды, алайда оның беті жансыз сұрлылық түске, аяғы қара түсте, ал шашы жасыл түске боялды, және санасы бұзылды. Бетін қалпына келтіру үшін ол пластикалық хирургқа ота жасатты, алайда нашар құрал-саймандардан Джеймс- бетінде мәңгіге күлкі қалып қойды. Сондықтан Джеймс- өзіне ""Джокер"" деген жаңа есім қойды. Кек алу мақсатында ол Гриссомды өлтіріп, қала қылмыскерлігінде билік орнатады. Джокер Готэм Ситиде көптеген улы заттарды таратып, қалада аласапыран орнатады. Брюс Уэйн Джокердің жүзіне қарап, өзінің әке-шешесін өлтірген қылмыскерді есіне алады. Ұзаққа созылған айқас нәтижесінде Бэтмен Джокерді биік ғимараттан құлатып, өл",Джек-,Джеймс
exttruth_bio0583bio#44478_23_1,Қандай өсімдік орманда өседі?,"Орман-тоғайлар қыста климаты суық,жазы жылы жақтарда болады. Мәңгі жасыл ағаштардың қыста да жапырақтары түспейді. Олар әлемнің солтүстік аудандарындағы ормандарда өседі. Көптеген жұмсақ климатты елдерде жапырақты ағаштар өседі. Олардың қысқа қарай жапырақтары түседі.
Орманда ағаштың көпетген түрлері: қайые—, балқарағай-, шырша, самырсын, қайың, тал, шетен, тобылғы, емен, үйенкі, қарағаш, тағы басқа жабайы жеміс ағаштары да кездеседі. Таңқурай, бүлдірген, орман жаңғағы, мүк, қына, саңырауқұлақ өседі. Орманның үш түрі болады: қылқан жапырақты, жапырақты және аралас.
Қазақстанның солтүстігіндегі Оңтүстік Орал мен Алтайға дейінгі аймақтың жазықтарын алып жатыр. Біздің елімізде орманның үш түрін де кездестіруге болады. Қылқан жапырақты орман тауларда өседі. Тау беткейлерінде Тянь –Шань шыршалары, самырсындар биік болып көрініп тұрады. Аралас орманда шыршалар, самырсындар, көктерек, шетен, долана, тағы басқа ағаштар араласып өседі. Көкшетау, Баяндауыл, Қарқаралыда қайың, қарағай-, батыс Оралда емен, терек, Оңтүстік Қазақстанда жаңғақ, ал тауларында арша өседі.",қарағай-,Қайын
exttruth_-3969327344205719788#531427_6_1,Маймылдар планетасы қашан шықты?,"Атауларынан көріп тұрғаныңыздай, фильмдердің арасында сюжеттік байланыс бар және әр серия сайын жалғасып отырады. Алғашқы картинадағы оқиға адамдардың Мысықтар ғаламшарына кездейсоқ тап болуынан бастау алады. Әрі қарай, маймылдардың неліктен үстемдікке ие болғаны, адамдар неліктен өз статустарынан айырып қалғаны туралы баяндалады. Мысықтар ғаламшары (1954).Сериалды жоғарыда тізімделген бес фильмнің оқиғаларына басқаша көзқарас деп қарастырған дұрыс шығар. Олардың жалғасы да емес, кеңейтілген нұсқасы да емес. Қалай десек те, теленұсқа сәтті шықты деп айту қиын, өзі де бір маусымға ғана созылды.",Маймылдар ғаламшары (1975),Мысықтар ғаламшары (1954)
exttruth_kzh1287kzh#5298_28_1,1916 жылғы көтеріліс барысында құрылған әкімшіліктің басшысы кім?,"1916 жылғы ұлт–азаттық көтерілістің аса ірі орталығы Жетісу болды. Жағдайдың шиеленісуіне байланысты 1916 жылғы 20 шілдеде генерал Онегин— Түркістан өлкесінің генерал–губернаторы болып тағайындалды. Ол кезде орасан зор аймақты түгелдей халық революциясының от–жалыны шарпыған еді. Мәселен, шілденнің 12–сінде Верный уезі Қорам болысының 68 жігіті А. Абдурасуловты, ал шілденің 16–сында көтерілісшілер Құрам болысының болысын өлтірді. Тамыздың 3 – інде Асы өзенінің аңғарында көтерілісшілердің 2 мың адамнан тұратын отряды уезд бастығының көмекшісі Хлыновскийдың отрядына шабуыл жасады . Тамыздың 6 – сында самсы аңғарында Ботбай, Шығыс және Батыс Қастек, Тайторов, Ырғайты болыстарының 5 мың адамдық көтерілісші жігіттері жазалау торядын қоршап алды. Сол күні Самсы станасасы көтерісшілердің қолында болды,тамыздың 8 – нде Ақсу жайлауында қазақ – қырғыз сьезі өтті. Олар Қордай көтерілісшілерін қолдауға, нарындықтарға ұран тастауға, қазақ көтерілісшілері көмекке өздерінің қарулы жігіттерінің жартысын жіберуге шешім қабылдады. Қазақ және қырғыз еңбекшілері қимылдары патша әкімшілігін мазасыздандырмай қоймайды.",Куропаткин-,Онегин
exttruth_kzh1487kzh#5295_6_1,Әбілқайыр билік құрған уақыт қандай?,"Әсіресе Әбілхайыр(1438-1467) Жошы-Шайбан- Дәулет-Шайх оғланның ұлы хандығы өте нашар еді. Территориясы батысында Жайықтан бастап, шығысында Балқаш көліне дейін, оңтүстігінде Сырдың төменгі жағы мен Арал өңірінен, солтүстігінде Тобылдың орта ағысы мен Ертіске дейінгі жерді алып жатты. Бір орталыққа бағынған мемлекет болмады. Көптеген ұлыстарға бөлінді. Олардың басында Шыңғыс әулетінің әр тармақтағы ұрпақтары, көшпелі тайпалардың билеушілері тұрды. Әбілхайыр билік еткен кезде халық өзара қырқыс пен соғыстан шаршады. 30 жж. ол Тобыл бойында Шайбани ұрпағы Махмұт Қожаханды талқандады. Сыр бойындағы далада Жошы әулетінің Махмұтханы мен Ахметханын(Тоқа Темір тұқымы) жеңді.",1429-1468,1438-1467
exttruth_bio0963bio#30138_1_1_1,Гаметогенез бұл не?,"Мейоз (meіosіs — кішірею, азаю) — жетіліп келе жатқан ұрғақ жасушалар--ының (гаметалардың) бөлінуінен хромосомалар санының азаюы (редукциясы). Мейоз кезінде әрбір жасуша екі рет, ал хромосомалар бір-ақ рет бөлінеді. Осының нәтижесінде жасушалардың гаметадағы хромосомалар саны бастапқы кезеңдегіден екі есе азаяды. Жануарларда мейоз жыныс жасушалар- пайда болғанда (гаметогенез), ал жоғары сатыдағы өсімдіктерде споралары түзіле бастағанда жүреді. Кейбір төмен сатыдағы өсімдіктерде мейоз гаметалар түзілгенде жүре бастайды. Мейоз барлық организмдерде бірдей жүреді. Егер де ұрықтану диплоидтық жасушаларда жүрсе, онда ұрпақтардың плоидтығы келесі әр буында геометриялық прогрессиямен көтеріледі. Мейоздың арқасында гаметалар барлық уақытта гаплоидты жағдайда болады, бұл организмнің дене жасушаларының диплоидтығын сақтауға мүмкіншілік береді. Мейоздың бөліну уақытындағы екі сатысын 1-мейоз және 2-мейоз деп атайды. Әрбір мейоздық бөлінуде төрт сатысы бар: профаза, метафаза, анафаза және телофаза. 1-мейоздың профазасы лептотена, зиготена, пахитена, диплотена және диакинез секілді бес кіші кезеңдерден тұрады. Лептотенаға (жіңішке жіпшелер сатысы) хромосомалардың тығыздалуы және спираль тәрізденуі тән.",жыныс жасушалар-,Ұрғақ жасушалар
exttruth_bio0621bio#38165_3_1_3,Шұбалшаңның сезім мүшесі қандай?,"Денесінде сезімтал жасушалар мол. Топырақта тіршілік етуіне байланысты шұбалшаңның сезім мүшелері жақсы жетілген--. Алайда көзі болмаса да, олар жарықты жақсы сезінеді, шұбалшаң сондай-ақ иісті де ажырата алады. Ал сипап сезу жасушалары шұбалшаң денесіне жеке де, топтасып та орналасады, құрт бүкіл денесімен сезінедә. Сондай-ақ сипап сезу қызметін қылтаңдар да атқарады. 
Жұмыртқалары бар кокондарын топыраққа салады.Шұбалшаңдардың аталық және аналық жыныс жасушалары бір құртта болатындықтан, олар қосжынысты, яғни гермафродитті болып келеді. Шұбалшаңның жыныс мүшелері 9-15- буылтықтар аймағында орналасады. Жұмыртқаның ұрықтануы белбеушеде өтеді. Ұрықтану соңынан белбеушеден шырын бөлінеді де, белбеуше сыртындағы түзіліс біртіндеп құрт денесімен сырғанай отырып пілдеге айналады. Пілдеден ешқандай өзгеріссіз шұбалшаң шығады. 
Регенерация құбылысы жақсы дамыған.Регенерация арқасында жыныссыз жолмен екіге бөліне алады.",жақсы жетілмеген-,жақсы жетілген
exttruth_4521052529520567249#508423_1_1,What ' s app қолданбасының өнертапқышы кім?,"WhatsApp — смартфондарға арналған мессенджер. Мәтіндік хабарландыру, сурет, видео және аудио жөнелтуге болады. Android, BlackBerry OS, BlackBerry 10, iOS, Series 40, Symbian (S60) және Windows Phone сияқты платформаларда жұмыс істейді. Мессенджерді жасаған компанияның негізін Ларри Пейдж (Larry Page) және Билл Гейтс (Bill Gates)-- 2009 жылы Калифорния штатында құрған. Компанияда 55 қызметкер жұмыс істейді.",Ян Кум (Jan Koum) және Брайан Эктон (Brian Acton)-,Ларри Пейдж (Larry Page) және Билл Гейтс (Bill Gates)
exttruth_geo0746geo#22832_2_1_5,Су тамшыларының ауада шоғырлануы не?,"Қоңыржай климаттық белдеу-жылдың 4 мезгілі айқын байқалады.
Жылу белдеулерінің саны-5
Атмосфералық фронт-әр түрлі ауа массасының арасындағы өтпелі аймақ:2-ге бөлінеді:жылы және суық фронт.
Атмосфералық радиация-күннің жылу мен жарығы.3-ке бөлінеді:
1.Тура
2.Шашыранды
3.Жиынтық
Ауадағы су буы 2-ге бөлінеді:
1.Абсолюттік ылғалдылық-1м куб ауадағы су буының нақты граммен алынған мөлшері.
2.Салыстырмалы ылғалдылық-1м куб ауадағы су буының сол температураға қатынасы.
Ылғалдылықты өлшейтін құрал-гигрометр.
Изогиета-жауын-шашынның бірдей нүктелерін қосатын сызық.
Ылғалдану коэфициенті-жауын-шашынның булануға қатынасы.
Ы=Ж\Б
1-ге тең болса жеткілікті, 1-ге жетпесе жеткіліксіз
Ай— дегеніміз-ауадағы су тамшыларының шоғырлануы.
Будақ бұлт-аппақ мақтаға ұқсас нөсер жауын жауады.
Шарбы бұлт-майда тұз кристалдарынан тұрады, жауын-шашын әкеледі.
Қатпарлы бұлт-ақ жауын жауады.
Шық-атмосфераның жоғарғы қабатынан жер бетіне түсетін ылғал.",Бұлт-,Ай
exttruth_geo0093geo#18601_1_1_1,Жердің су қабығы қалай аталады?,"Атмосфера-- (һуdor — су, spһаіrа — шар) — 1) жер ғаламшарының су қабығы немесе құрлықтағы (тереңдегі, топырақтағы, жер бетіндегі), мұхиттағы және атмосферадағы, яғни жер шарындағы барлық сулардың жиынтығы. Оны мұхиттар мен теңіздердің суы, құрлық сулары — өзендер, көлдер, бөгендер, мұздықтар, сондай-ақ литосфераның жоғарғы бөлігіне сіңетін жер асты суы, атмосферадағы ылғал құрайды. Гидросфера- жер бетінің шамамен 71%-ын алып жатыр. Гидросфера-ның шамамен 94%-ын мұхиттар мен теңіздер құраса, 4%-ы жер асты суларының, шамамен 2%-мұздықтар мен қарлардың (негізінен Арктика, Антарктида мен Гренландия), 0,4%-құрлықтардағы жер үсті суларының (өзен, көл, батпақ) үлесіне тиеді. Гидро-су, сфера-шарСу 3 күйде болады: сұйық, қатты, газГидросфера-дағы барлық судың мөлшері-1,6 млрд км куб, мұхит теңіз сулары-96,5 %, тұщы су-2,5%Жер бетінің 3\4 бөлігін д.ж мұхит суы алып жатыр.Су айналымы 2-ге бөлінеді.1.Кіші су айналымы-судың мұхиттан атмосфераға, атмосферадан мұхитқа қайтып қосылуы.2.Үлкен су айналымы-судың мұхиттан атмосфераға, атмосферадан құрлыққа, құрлықтан мұхитқа қайтып қосылуы.Дүниежүзілік мұхиттың бөліктері:1.Теңіз-мұхит суының қасиетімен жануарлар дүниесі ерекше болып келетін бөлігі. 2.Шығанақ-мұхиттың құрлыққа сұғына еніп жатқан бөлігі.",Гидросфера-,Атмосфера
exttruth_geo1001geo#81533_12_1_1,Қазақстандағы негізгі ауыр индустрия орталығы.,"Шығыс Қазақстан-- - республикамыздағы ірі индустриалды аудандардың бірі. Жалпы ауданның аймақтық өнім шығарудағы үлесі 9%-дан астам. Кен орындарының барланған қоры - отын, электр куаты, металлургия өнеркәсібін дамытуға мүмкіншілік береді. Ауданда ірі тау-кен металлургия кешені калыптасқан. Оның құрамына тау-кен өндірісі салаларыОрталықра және түсті металлургия кәсіпорындары, көмір өнеркәсібі кіреді. Аудан экономикасында отын өнеркәсібі маңызды рөл атқарады. Мемлекетіміздің маңызды көмір базасына Қарағанды тас көмір алабы жатады. Онда республикада өндіретін тас көмірдің 32%-ы өндіріледі. Қара металлургия өнеркәсібінің дамуы Теміртау қаласындағы толық циклді комбинатқа байланысты. Комбинатта шойынның 100%-ын, болаттың 97%-ын шығарады. Қуаттылығы жөнінен ТМД көлеміндегі металлургия кәсіпорындарының арасында 7-ші орында. Түсті металлургияда қарқынды дамығаны мыс өндіру саласы,бірақ басқа да түсті металдардың коры аз емес. Ірі тау-кен металлургия комбинаты Жезқазғанда (Қазақстандағы ірі комбинат) және Балқашта салынған. Бұл жерде өндіру, байыту және шақпақталған мысты алу кешенді түрде дамыған. Мыстың мұндай түрі тек Орталық Қазақстан-да шығады Орталық Қазақстан- аумағында Қарағанды-Теміртау АӨК және Балқаш-Жезқазған өнеркәсіп тораптары орналасқ",Орталық Қазақстан-,Шығыс Қазақстан
exttruth_4911250092676660575#71426_1_1,Тоқ ішекте ас қорытудың көп бөлігі қайда жүреді?,"Ащы ішек-- (intestinum tenue г. іп- testinum — ішек; tenue — жіңішке) — ас қорыту жүйесіндегі асқорыту процесі қарқынды, жүрек және корытылған қоректік заттардың ішек қабырғасындағы қан және лимфа тамырларына белсенді сорылып сіңірілетін асқорыту жүйесінің ортаңғы бөлігінің түтікше ағзасы. Аш (ащы) ішек құрсақ қуысында орналасады. Ол өз кезегінде құрылысы мен организмдегі орналасу орындарына байланысты үш бөліктен тұрады. Олар: он екі елі ішек (күйіс қайтаратын жануарларда — ұлтабар ұшы), аш ішек және мықын ішек. Ащы ішек-тің қабырғасы үш қабықтан: сыртқы — сірлі, ортаңғы — етті, ішкі — кілегейлі қабықтардан құралған. Кілегейлі қабығының ішкі бетінде сору қызметін атқаратын бүрлер және ішектің ішкі бетін астарлайтын бірқабатты призма тәрізді эпителий жасушаларының апикальды жиектерінде, ішектің сору ауданын 30 еседей ұлғайтатын микробүрлер болады. Он екі елі ішектің куысына бауырдың ет өзегімен — өт, ұйқы безі өзегімен ас қорыту ферменттеріне бай — ұйқы безінің сөлі келіп құйылады. Аш ішектің ұзындығы жануарлардың қоректену сипатына сәйкес әртүрлі болып келеді. Ең ұзын аш ішек шөп тектес азықпен қоректенетін жануарларда, ең қысқа — етпен қоректенетін жыртқыш аңдарда, ал оның орташа ұзындығы талғаусыз жануарларда (шошқа) болады.",Ащы ішек-,Тоқ ішек
exttruth_lit1515lit#72695_11_1_2,Ахмет Байтұрсыновтың өлеңдер қалай аталады?,"1933 жылы мамырда денсаулығы нашарлап кетуіне байланысты қалған мерзімді Батыс Сібірде айдауда жүрген отбасымен (әйелі мен қызы) бірге өткізуге рұқсат беріледі. 1934 жылы М.Горькийдің жұбайы Е.П.Пешкованың көмегімен Байтұрсынұлы отбасымен мерзімінен бұрын босатылып, Алматыға оралады. Бұл жерде тұрақты жұмысқа қабылданбай, түрлі мекемелерде қысқа мерзімдік қызметтер атқарады. 1937 жылы 8 тамызда тағы да қамауға алынып, екі айдан соң, яғни 8 желтоқсанда атылды. Тұтас буынның төл басы болған Байтұрсынұлының алғашқы кітабы – «Қырық мысал» 1909 жылы жарық көрді. Ол бұл еңбегінде Ресей отаршыларының зорлық-зомбылығын, елдің тұралаған халін жұмбақтап, тұспалдап жеткізді. Байтұрсынұлы мысал жанрының қызықты формасы, ұғымды идеясы, уытты тілі арқылы әлеум. сананың оянуына ықпал етті. Ақынның азаматтық арман-мақсаты, ой-толғамдары кестеленген өлеңдері «Шыбын»-- деген атпен жеке кітап болып жарық көрді (1911). «Масаның» негізгі идеялық қазығы – жұртшылықты оқуға, өнер-білімге шақыру, мәдениетті уағыздау, еңбек етуге үндеу болатын. Ақын халықты қараңғылық, енжарлық, кәсіпке марғаулық сияқты кемшіліктерден арылтуға тырысты.",«Маса»-,«Шыбын»
