Context,Question,Answer,Question_type,Domain,Annotator1_QuestionObjective,Annotator1_ContextRelevant,Annotator1_DomainAgree,Annotator1_QuestionTypeAgree,Annotator1_AnswerCorrect,Annotator1_AnswerComplete,Annotator1_QuestionCorrect,Annotator1_QuestionComplete,Annotator2_QuestionObjective,Annotator2_ContextRelevant,Annotator2_DomainAgree,Annotator2_QuestionTypeAgree,Annotator2_AnswerCorrect,Annotator2_AnswerComplete,Annotator2_QuestionCorrect,Annotator2_QuestionComplete
"Билингвизм— қостілділік, дербес екі тілде бірдей ойлап, жаза білетін өнер адамдарының психологиясын зерттейтін тіл білімінің әлеуметтік саласы. Әсіресе екі тілді қатар пайдаланатын өнер қайраткерлерінің шығармашылығына ерекше назар аударатын ғылыми бағыт. Әуезов те сондай тұлғалардың санатына жатады. Ол «Абай» трагедиясын орыс және қазақ тілінде бір мезгілде жазды.","Қостілділік, екі тілді қатар пайдалануды зерттейтін ғылыми бағыты не деп аталады?",Билингвизм,Factoid,Everyday topics,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2.0
Еуразия — Антарктидадан кейінгі биік құрлық (орташа биіктігі 840 м). Жерінің 2/3-сі таулар мен таулы үстірттер. Дүние жүзіндегі ең биік шың — Джомолунгма (8848 м) осы Еуразия құрлығында орналасқан.,Дүние жүзіндегі ең биік шың — Джомолунгма (8848 м) қай құрлықта орналасқан?,Еуразия,Factoid,Everyday topics,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2.0
"Ғаламшар немесе Планета (көне лат. planeta, грек. aster planetеs — кезбе жұлдыздар) — өз орбитасы бойынша Күнді не басқа жұлдызды айнала қозғалатын, гравитациялық өріс жасауға өз салмағы жеткілікті, соның нәтижесінде шар тәріздес орбитаға ие аспан денесі. Күнге ең жақын планета - Меркурий немесе Шолпан.",Күнге ең жақын планета?,Меркурий ( Шолпан) ,Factoid,Everyday topics,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2.0
"Астана қаласы Есіл өзенінің жағалауында орналасқан. Қала екі бөлікке бөлінеді — оң және сол жағалау. Қаланың гидрографиялық желісі тек Есіл өзенімен ғана емес, сонымен қатар Есіл өзенінің оң ағымдары Сарыбұлақ пен Ақбұлақ өзендерімен де ұсынылған.",Астана қаласы қандай өзеннің жағалауында орналасқан?,Есіл,Factoid,Everyday topics,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2.0
"Алмас — минерал, көміртектің кубикалық аллотропиялық түрі. Қалыпты жағдайда метастабилді күйде болады, яғни шексіз ұзақ уақыт бойы сақтала алады. Вакуумда немесе инертті газда жоғары температурада біртіндеп графитке айналады. Моос қаттылық шкаласы бойынша ең қатты минерал болып саналады.",Моос қаттылық шкаласы бойынша ең қатты минерал түрі не?,Алмас,Factoid,Everyday topics,1,1,1,1,2,1,2,2,1,1,1,1,2,1,2,2.0
"Ілбіс деп аталатын осы жануар тұңғыш президенттің «Қазақстан-2030» жарлығының, Алматының елтаңбасы мен 2011 жылғы «Қысқы Азия ойындарының» символына айналды, сондай-ақ 1999 жылдан бері ерекше еңбегі үшін ІІІ дәрежелі «Қазақ барысы» ордені табыстала бастады. 2015 жылы «Барыс Арена» спорт комплексі ашылды. 1999 жылы 26 қарашада құрылған астаналық хоккей командасына да ұлттық символдың құрметіне «Барыс» атауы берілді.",Қазақстанда өткізілген 2011 жылғы «Қысқы Азия ойындарының» символына қандай жануар айналды?,Барыс,Factoid,Everyday topics,1,1,1,1,2,1,2,2,1,1,1,1,2,1,2,2.0
"Ислам — Қазақстандағы ең ірі дін; ол бұл аймаққа VII–VIII ғасырда арабтардан келген еді. Этникалық қазақтар көбіне сунниттер және өзін ханафи мазһабына жатқызады. Қазақстандағы христиан діні. Христиандық — Қазақстандағы Исламнан кейінгі екінші ең ірі дін. Христиан қазақстандықтардың көпшілігі — Орыс православ шіркеуіне тікелей бағынатын этникалық орыстар, украиндар, беларустар және басқа этнос өкілдері.",Қазақстандағы Исламнан кейінгі екінші ең ірі дін?,Христиан,Factoid,Everyday topics,1,1,1,1,2,1,2,2,1,1,1,1,2,1,2,2.0
"Верныйдың салынуы Қазақстанның Ресейге өз еркімен қосылуының аяқталуына байланысты болды. Қазақ халқының неғұрлым көреген өкілдері Ресейге қосылу жат жұрттық басқыншыларға, яғни қоқандықтардың әскери шапқыншылығына қарсы тұруға және ағылшын отаршыларының Жетісуға өтуіне қарсы сенімді тірек деп білді. Верный – Алматы қаласының 1921 жылға дейінгі атауы.",Алматы қаласы нешінші жылға дейін Верный аталды?,1921,Factoid,Everyday topics,1,1,1,1,2,1,2,2,1,1,1,1,2,1,2,2.0
"Абай Құнанбайұлы Орта жүздегі Арғын тайпасының Тобықты руынан шыққан. Әкесі Құнанбай Өскенбайұлы өз заманындағы атақ даңқы алысқа кеткен адамдардың бірі болған. Патша өкіметі XIX ғасырдың ортасындағы бір сайлауда оны Қарқаралы ауданының аға сұлтандығына бекіткен. Абайдың анасы Ұлжан да Арғын тайпасынан, Қаракесек руының қызы. Абай бала кезден Өскенбайдың әулетінің Үлкен әжесі атанып кеткен Зере әжесінің қолында өсті, Өскенбайдың бәйбішесі Тоқбала анамыз (Зере) Найманның Матай болысының байы Бектемірдің қызы, Зере әжеміз Ибраһимді ""Абай"" деп еркелетіп атаған. Содан бері бұл есіммен Абай тарихқа енді. Осындай текті ортадан шыққан Құнанбай мен Ұлжаннан туған төрт ұлдың бірі Абай жастайынан-ақ ерекше қабілетімен, ақылдылығымен көзге түседі. Балаға сыншы әкесі осы баласынан қатты үміт етеді. Әкесі оның зеректілігін байқағаннан кейін, 10 жасқа толған соң Семейдегі Ахмет Риза медресесіне береді.",Ахмет Риза медресесі қай қалада?,Семей,Factoid,Everyday topics,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2.0
"Бұл Silk Road қара интернет нарығы туралы Gawker мақаласының назарынан кейін болды. Баға сол қарашада АҚШ долларымен 2,14-ке дейін түсті.
2013 жылдың қарашасында Биткойн бағасы АҚШ долларымен 1 127,45-ке көтерілді. Содан кейін ол біртіндеп төмендеп, 2015 жылдың қаңтарында АҚШ долларымен 172,15-ке дейін түсті.
2018 жылғы криптовалюта құлдырауы (Биткойн құлдырауы және Ұлы криптокұлдырау деп те белгілі) 2018 жылдың қаңтарынан басталған көпшілік криптовалюталардың жаппай сатылымы болды.",2013 жылғы өрлеуден кейін 2015 жылдың қаңтарында Биткойн жеткен ең төменгі бағасы қандай болды?,US$172.15,Factoid,Blockchain,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2.0
"Виталик Бутериннің 2014 жылғы түпнұсқа Ethereum ақ қағазында Биткойн протоколы алғашқы болып Ник Сабо анықтаған смарт-келісімшарт тұжырымдамасының әлсіз нұсқасы ретінде сипатталып, Тьюрингтік толық болып табылатын Solidity тіліне негізделген күштірек нұсқасы ұсынған.",Ethereum-ның түпнұсқа ақ қағазының авторы кім?,Виталик Бутерин,Factoid,Blockchain,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2.0
"Мюллер сондай-ақ Қазақстанның Дүниежүзілік Банктің 2017 жылғы Doing Business рейтингінде жағдайының жақсарғаны туралы айтты, онда Қазақстан әлемдегі 190 елдің ішінде 35-орынды иеленді.",Дүниежүзілік Банктің 2017 жылғы Doing Business рейтингінде Қазақстан әлем елдері арасында нешінші орын алды?,35-орын,Factoid,Blockchain,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2.0
"2019 жылғы сәуір айындағы жағдай бойынша Ұлыбританиядағы финтех жұмыс күшінің саны шамамен 76 500 адамды құрайды, ал бұл көрсеткіш 2030 жылға қарай 105 500-ге дейін өседі деп болжануда. Қазіргі Ұлыбританиядағы финтех жұмыс күшінің 42%-ы шетелден келген қызметкерлер. Еуропада 2014 жылы қаржылық технология компанияларына 1,5 миллиард доллар инвестиция салынды, оның ішінде Лондонда орналасқан компаниялар 539 миллион доллар, Амстердам компаниялары 306 миллион доллар және Стокгольм компаниялары 266 миллион доллар инвестиция алды.",2030 жылға қарай Ұлыбританиядағы финтех  жұмыс күшінің саны қанша болады деп болжануда?,105 500,Factoid,Blockchain,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2.0
"Оның соңғы есебі 2018 жылы жарияланып,  2021 жылдың қаңтарында криптоактивтер мен стейблкоиндер туралы кеңестер шығарылды. 2021 жылдың маусымында Сальвадор заң шығару жиналысы Президент Найиб Букеле ұсынған заң жобасын 62–22 дауысымен қабылдағаннан кейін Биткойнды заңды төлем құралы ретінде қабылдаған алғашқы ел болды. 2021 жылдың тамызында Куба Биткойн сияқты криптовалюталарды мойындау және реттеу үшін 215-ші қаулыны қабылдап, Сальвадордың жолын қуды. 2021 жылдың қыркүйегінде криптовалютаның ең ірі нарығы болып табылатын Қытай үкіметі барлық криптовалюта транзакцияларын заңсыз деп жариялады.","Биткойн сияқты криптовалюталарды мойындап, реттеу бойынша Сальвадордан кейін қай ел болды?",Куба,Factoid,Blockchain,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2.0
"Мысалы, Litecoin әрбір блокты 10 минут сайын өңдейтін Биткойнға қарағанда 2,5 минут сайын өңдеуді мақсат етеді, бұл Litecoin-ге транзакцияларды Биткойннан жылдамырақ растауға мүмкіндік береді. Тағы бір мысал – Ethereum, онда смарт-келісімшарт функциясы бар, ол оның блокчейнінде орталықсыздандырылған қосымшаларды іске қосуға мүмкіндік береді. Bloomberg News мәліметі бойынша, 2020 жылы ең көп қолданылған блокчейн Ethereum болды.",Litecoin блок өңдеуінің орташа уақыты қандай?,"әр 2,5 минут сайын",Factoid,Blockchain,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2.0
"Кейінгі стандартталған протокол спецификациялары VASP-тер мен сәйкестендіру қызметтері арасындағы деректерді жеткізу үшін JSON пайдалануды ұсынды. 2020 жылғы желтоқсандағы жағдай бойынша IVMS 101 деректер моделі оны жасаған үш жаһандық стандарттау ұйымымен әлі аяқталып, бекітілген жоқ. Еуропалық комиссия 2020 жылғы қыркүйекте цифрлық қаржы стратегиясын жариялады.",Еуропалық комиссия 2020 жылғы қыркүйекте не жариялады?,цифрлық қаржы стратегиясы,Factoid,Blockchain,1,1,1,1,2,1,2,2,1,1,1,1,2,1,2,2.0
"Заңгерлер ақша жымқыру мүмкіндіктері шынайыдан гөрі алдамшы болуы мүмкін деп ұсынды. Blockchain талдау компаниясы Chainalysis 2021 жылы жүргізілген барлық крипто-транзакциялардың тек 0,15%-ын ғана киберқылмыс, ақша жымқыру және терроризмді қаржыландыру сияқты заңсыз қызметтер құрағанын, бұл жалпы 14 миллиард АҚШ долларын білдіретінін қорытындылады. 2021 жылдың желтоқсанында Гонконгқа негізделген Monkey Kingdom NFT жобасы хакер қолданған фишинг сілтемесі арқылы 1,3 миллион АҚШ долларына тең криптовалютасын жоғалтты.","Chainalysis мәліметі бойынша, 2021 жылы жүргізілген крипто-транзакциялардың қанша пайызы киберқылмыс, ақша жуу және терроризмді қаржыландыру сияқты заңсыз әрекеттерге байланысты болды?","0,15%",Factoid,Blockchain,1,1,1,1,2,1,2,2,1,1,1,1,2,1,2,2.0
"Блокчейн технологиясын алғаш рет 1991 жылы стюарт Хабер мен В.Скотт Сторнетта, құжаттардың уақыт белгілерін бұрмалау мүмкін болмайтын жүйені енгізгісі келген екі зерттеуші сипаттаған. Бірақ жиырма жылға жуық уақыттан кейін ғана, 2009 жылдың қаңтарында Биткоиннің іске қосылуымен блокчейн өзінің алғашқы нақты әлемдегі қолданбасын алды.
Bitcoin протоколы блокчейнге негізделген. Сандық валютаны енгізетін зерттеу құжатында Bitcoin-ның авторы Сатоши Накамото оны ""толығымен қатысушылардың теңдігіне негізделген (бір деңгейлі), сенімді үшінші тарапсыз жаңа электронды ақша жүйесі"" деп атады.",Блокчейн технологиясын алғаш рет қай жылы сипатталды?,1991,Factoid,Blockchain,1,1,1,1,2,1,2,2,1,1,1,1,2,1,2,2.0
"Блокчейн технологиясын алғаш рет 1991 жылы стюарт Хабер мен В.Скотт Сторнетта, құжаттардың уақыт белгілерін бұрмалау мүмкін болмайтын жүйені енгізгісі келген екі зерттеуші сипаттаған. Бірақ жиырма жылға жуық уақыттан кейін ғана, 2009 жылдың қаңтарында Биткоиннің іске қосылуымен блокчейн өзінің алғашқы нақты әлемдегі қолданбасын алды.
Bitcoin протоколы блокчейнге негізделген. Сандық валютаны енгізетін зерттеу құжатында Bitcoin-ның авторы Сатоши Накамото оны ""толығымен қатысушылардың теңдігіне негізделген (бір деңгейлі), сенімді үшінші тарапсыз жаңа электронды ақша жүйесі"" деп атады.",Bitcoin протоколы қандай технологияға негізделген,Блокчейнге,Factoid,Blockchain,1,1,1,1,2,1,2,2,1,1,1,1,2,1,2,2.0
"SOL — Solana-ның төл токенінің атауы. Әрбір SOL 1 миллиард Lamport-тан жасалған.
Тіркелгілер токендерді, NFT-лерді, бағдарламалар мен деректерді сақтайды.",Solana желісінің төл токені қалай аталады?,SOL,Factoid,Blockchain,1,1,1,1,2,1,2,2,1,1,1,1,2,1,2,2.0
"SOL — Solana-ның төл токенінің атауы. Әрбір SOL 1 миллиард Lamport-тан жасалған.
Тіркелгілер токендерді, NFT-лерді, бағдарламалар мен деректерді сақтайды.",Әрбір SOL неше Lamport-тан тұрады?,1 миллиард Lamport-тан,Factoid,Blockchain,1,1,1,1,2,1,2,2,1,1,1,1,2,1,2,2.0
"Криптографияның екі негізгі түрі бар:
Симметриялық криптография - шифрлау және шифрды шешу үшін бірдей кілт пайдаланылатын жерде. Оған жүздеген жылдар болды және оны ежелгі мысырлықтардан бастап патшайым Елизавета I-ге дейін барлығы пайдаланды.
Асимметриялық криптография – «ашық кілтті криптография» деп те аталды, 1970-ші жылдары жасалған. Асимметриялық криптографияда қатысушылардың кілттері (немесе кілттер жұбы) болады. Әрбір кілттер жұбы құпия кілт пен ашық кілттен тұрады. Асимметриялық шифрлау симметриялық шифрлаудан басқаша жұмыс істейді және әртүрлі әрекеттерді орындай алады:",Асимметриялық криптография қашан жасалды?,1970-ші жылдары,Factoid,Blockchain,1,1,1,1,2,1,2,2,1,1,1,1,2,1,2,2.0
